timestamp,P4,PO3,PO4,T5,T6,PO5,PO6,Oz,O1,O2,trigger
1756781341.6630836,-256051.734375,-256337.609375,-256546.28125,-256288.5625,-256515.890625,0.0,-256096.390625,-256250.65625,-256086.640625,-255851.359375,-256137.0625
1756781341.6630836,-256346.140625,-256088.15625,-256315.609375,0.0,-255890.609375,-256044.703125,-255880.515625,-255645.421875,-255931.03125,-256140.15625,-255882.125
1756781341.6630836,-256109.484375,0.0,-255703.578125,-255857.796875,-255693.65625,-255458.828125,-255744.078125,-255953.0625,-255695.4375,-255922.21875,0.0
1756781341.6630836,-255590.15625,-255744.078125,-255579.96875,-255345.375,-255630.75,-255839.078125,-255581.796875,-255808.453125,0.0,-255538.3125,-255692.40625
1756781341.6630836,-255528.5625,-255293.734375,-255579.03125,-255787.96875,-255530.4375,-255757.265625,0.0,-255550.734375,-255704.6875,-255540.625,-255305.453125
1756781341.6630836,-255590.96875,-255800.140625,-255542.46875,-255769.375,0.0,-255658.34375,-255811.9375,-255647.828125,-255413.09375,-255698.296875,-255906.984375
1756781341.705023,-255649.65625,-255876.40625,0.0,-255804.703125,-255958.65625,-255794.640625,-255559.765625,-255844.703125,-256053.828125,-255796.25,-256022.9375
1756781341.705023,0.0,-255957.40625,-256111.765625,-255947.703125,-255712.390625,-255997.765625,-256206.765625,-255949.125,-256176.0,0.0,-256160.3125
1756781341.705023,-256314.859375,-256150.609375,-255915.375,-256200.671875,-256409.890625,-256152.40625,-256379.359375,0.0,-256364.078125,-256518.34375,-256354.59375
1756781341.705023,-256119.0,-256404.4375,-256613.734375,-256356.0625,-256583.34375,0.0,-256550.3125,-256704.578125,-256540.34375,-256304.65625,-256590.765625
1756781341.705023,-256799.96875,-256541.953125,-256769.359375,0.0,-256734.890625,-256889.78125,-256725.234375,-256489.515625,-256775.609375,-256984.90625,-256726.609375
1756781341.705023,-256954.296875,0.0,-256863.71875,-257018.53125,-256854.109375,-256618.609375,-256904.359375,-257113.609375,-256855.234375,-257083.390625,0.0
1756781341.705023,-256925.40625,-257080.3125,-256916.0625,-256680.171875,-256966.09375,-257175.703125,-256917.28125,-257145.3125,0.0,-256915.9375,-257071.375
1756781341.705023,-256906.40625,-256670.421875,-256956.53125,-257165.875,-256907.484375,-257135.65625,0.0,-256802.875,-256958.171875,-256793.765625,-256557.640625
1756781341.705023,-256843.78125,-257052.5,-256794.921875,-257022.828125,0.0,-256651.203125,-256805.875,-256641.546875,-256406.0,-256691.796875,-256901.0
1756781341.705023,-256643.46875,-256870.828125,0.0,-256494.296875,-256648.65625,-256484.046875,-256248.875,-256534.65625,-256743.515625,-256485.703125,-256713.03125
1756781341.705023,0.0,-256293.65625,-256447.890625,-256283.515625,-256048.234375,-256334.203125,-256542.96875,-256285.03125,-256512.578125,0.0,-256093.296875
1756781341.705023,-256247.4375,-256083.015625,-255848.234375,-256133.671875,-256342.390625,-256085.125,-256312.4375,0.0,-255889.671875,-256044.03125,-255879.484375
1756781341.705023,-255644.875,-255929.78125,-256139.171875,-255881.578125,-256108.640625,0.0,-255704.34375,-255858.5625,-255694.09375,-255459.5,-255744.484375
1756781341.705023,-255953.515625,-255696.109375,-255922.578125,0.0,-255590.34375,-255744.296875,-255580.109375,-255345.1875,-255630.484375,-255839.125,-255581.765625
1756781341.705023,-255808.40625,0.0,-255539.0625,-255693.203125,-255528.921875,-255294.578125,-255578.890625,-255788.109375,-255531.109375,-255757.40625,0.0
1756781341.705023,-255551.984375,-255706.078125,-255542.015625,-255307.453125,-255592.359375,-255801.25,-255544.296875,-255770.71875,0.0,-255660.265625,-255814.390625
1756781341.705023,-255650.515625,-255415.59375,-255700.765625,-255909.484375,-255652.4375,-255879.03125,0.0,-255806.625,-255960.671875,-255796.5625,-255562.09375
1756781341.705023,-255846.9375,-256056.0625,-255798.75,-256025.3125,0.0,-255956.640625,-256110.375,-255946.453125,-255711.625,-255996.875,-256205.8125
1756781341.705023,-255948.5,-256175.421875,0.0,-256157.71875,-256312.03125,-256148.0625,-255913.09375,-256198.4375,-256407.25,-256149.71875,-256376.9375
1756781341.705023,0.0,-256364.296875,-256518.65625,-256355.046875,-256119.625,-256404.96875,-256614.09375,-256356.375,-256583.78125,0.0,-256550.96875
1756781341.705023,-256705.609375,-256541.90625,-256306.09375,-256591.875,-256801.046875,-256542.796875,-256770.828125,0.0,-256733.546875,-256888.671875,-256724.421875
1756781341.705023,-256488.53125,-256774.453125,-256983.75,-256725.1875,-256953.390625,0.0,-256861.75,-257016.734375,-256852.046875,-256616.515625,-256902.75
1756781341.705023,-257111.609375,-256853.625,-257081.5625,0.0,-256924.921875,-257080.09375,-256915.484375,-256679.859375,-256965.828125,-257175.125,-256916.609375
1756781341.705023,-257144.734375,0.0,-256917.328125,-257072.625,-256908.25,-256672.21875,-256958.171875,-257167.84375,-256909.234375,-257137.125,0.0
1756781341.705023,-256805.65625,-256960.5,-256796.359375,-256560.59375,-256846.109375,-257055.640625,-256797.421875,-257025.6875,0.0,-256651.421875,-256805.875
1756781341.705023,-256642.078125,-256406.40625,-256692.15625,-256901.1875,-256643.25,-256871.328125,0.0,-256492.59375,-256646.859375,-256482.765625,-256247.21875
1756781341.705023,-256532.953125,-256741.765625,-256484.09375,-256711.78125,0.0,-256292.8125,-256447.265625,-256283.25,-256047.96875,-256333.71875,-256542.21875
1756781341.705023,-256284.71875,-256512.171875,0.0,-256095.625,-256250.078125,-256086.015625,-255850.65625,-256136.0,-256344.984375,-256087.265625,-256314.578125
1756781341.705023,0.0,-255891.109375,-256045.6875,-255881.40625,-255646.484375,-255931.46875,-256140.515625,-255883.0625,-256110.015625,0.0,-255702.328125
1756781341.705023,-255856.46875,-255692.3125,-255457.390625,-255742.296875,-255951.40625,-255694.1875,-255920.515625,0.0,-255588.734375,-255742.609375,-255578.40625
1756781341.705023,-255343.53125,-255628.75,-255837.375,-255580.421875,-255806.796875,0.0,-255539.78125,-255693.34375,-255529.28125,-255294.625,-255579.921875
1756781341.705023,-255788.375,-255531.46875,-255757.9375,0.0,-255554.84375,-255708.671875,-255544.65625,-255310.140625,-255594.984375,-255803.9375,-255546.40625
1756781341.705023,-255773.09375,0.0,-255661.828125,-255815.640625,-255651.546875,-255416.84375,-255702.234375,-255910.828125,-255653.28125,-255880.25,0.0
1756781341.7434092,-255807.28125,-255961.34375,-255797.3125,-255562.671875,-255847.75,-256056.328125,-255799.203125,-256026.015625,0.0,-255960.265625,-256114.71875
1756781341.7434092,-255950.734375,-255715.875,-256000.984375,-256209.796875,-255952.484375,-256179.53125,0.0,-256163.265625,-256317.9375,-256154.09375,-255919.046875
1756781341.7434092,-256204.078125,-256413.15625,-256155.84375,-256382.984375,0.0,-256366.890625,-256521.5625,-256357.59375,-256122.1875,-256407.25,-256616.875
1756781341.7434092,-256358.796875,-256586.421875,0.0,-256552.671875,-256707.75,-256543.375,-256307.65625,-256593.40625,-256802.515625,-256544.359375,-256772.03125
1756781341.7434092,0.0,-256736.9375,-256891.84375,-256727.515625,-256491.921875,-256777.53125,-256987.015625,-256728.53125,-256956.296875,0.0,-256864.890625
1756781341.7434092,-257019.921875,-256855.40625,-256620.0,-256905.609375,-257115.046875,-256856.296875,-257084.46875,0.0,-256928.5,-257083.265625,-256918.84375
1756781341.7434092,-256683.125,-256969.09375,-257177.984375,-256919.828125,-257147.984375,0.0,-256919.0625,-257073.609375,-256909.453125,-256673.28125,-256959.515625
1756781341.7434092,-257168.953125,-256910.484375,-257138.203125,0.0,-256805.828125,-256960.546875,-256796.625,-256560.453125,-256846.640625,-257055.71875,-256797.375
1756781341.7434092,-257025.0625,0.0,-256650.75,-256805.78125,-256641.59375,-256405.78125,-256691.34375,-256900.5625,-256642.625,-256870.421875,0.0
1756781341.7434092,-256491.390625,-256646.234375,-256482.046875,-256246.546875,-256531.890625,-256741.375,-256482.9375,-256710.875,0.0,-256292.015625,-256446.375
1756781341.7434092,-256282.171875,-256046.59375,-256332.375,-256541.71875,-256283.375,-256510.703125,0.0,-256093.171875,-256247.625,-256083.421875,-255848.1875
1756781341.7434092,-256133.765625,-256342.65625,-256084.890625,-256312.125,0.0,-255888.921875,-256042.875,-255878.765625,-255643.9375,-255929.375,-256137.6875
1756781341.7434092,-255880.328125,-256107.515625,0.0,-255705.140625,-255858.828125,-255694.90625,-255460.25,-255745.46875,-255954.140625,-255696.6875,-255923.296875
1756781341.7434092,0.0,-255592.9375,-255746.796875,-255583.1875,-255348.359375,-255633.078125,-255842.0625,-255584.796875,-255811.53125,0.0,-255541.171875
1756781341.7434092,-255695.125,-255530.890625,-255296.5,-255581.09375,-255790.125,-255532.859375,-255759.453125,0.0,-255554.046875,-255707.515625,-255543.578125
1756781341.7434092,-255309.296875,-255594.28125,-255802.6875,-255545.640625,-255772.234375,0.0,-255667.015625,-255820.703125,-255657.078125,-255422.390625,-255707.421875
